name,extracted_cpu
"Loq 15IRX10 I7-13700HX 64GB 512GBSSD 15.6"" 8GB/RTX5050 144Hz FDOS 83JE00KMTRF17+ZETTAÇANTA",i7 13700hx
"Rog Strix G16 Ultra 9 275HX 16GB 1TB SSD RTX5070/8GB 240Hz 16"" QHD+ W11H Gaming Laptop G615LP",ultra 9 275hx
"Cyborg 15 i7-13620H 16GB 4 TBSSD RTX4050 15.6"" FHD 144Hz Win10 Pro + Sırt Ç. A13VE-897XTRHMF67",i7 13620h
"Aspire Go 15 I7-13620H 16GB 1tb SSD FDOS 15,6"" Fhd (1920 x 1080) IPS NXJ6SEY001F03+Zetta Çanta",i7 13620h
"Victus i5-14450HX 16-GBDDR5 1 TBSSD RTX4050 16.1"" FHD 144Hz Win10 Pro +S. Çantası BL6W5EAHMF46",i5 14450hx
"Nitro V15 NH.QZAEY.004-32 İ9 13900H 32GB 512GB SSD RTX5060-8GB 165Hz 15,6"" W11 Home Notebook",i9 13900h
"Ideapad Amd Ryzen 5 7520U 16gb 512gb Ssd 15.6"" W11 Home Taşınabilir Bilgisayar",amd ryzen 5 7520u
"Victus 15 15-FA2704NT B7TG9EA FR83 i5-13420H 24 GB 2 TB SSD RTX3050 15.6"" W11P + Çanta",i5 13420h
"Katana 17 Hx İ9-14900HX 32GB 1tb SSD 8GB/RTX5060 115W 17.3"" Qhd 240Hz IPS WIN11PRO W217TRP08",i9 14900hx
Omen 16-AM0033NT I9 14900HX 96GB 6tb SSD RTX5060 8gb W11PRO 16Inç 144Hz IPS WC39J7EAP47+Zetta Çanta,i9 14900hx
"Loq I5-13450HX 80GB Ddr5 4tb SSD 8GB/RTX5050/100W 15.6"" IPS FDOS 83JE00JLTRF24 + Zettaçanta",i5 13450hx
"Victus Ryzen 7-7445HS 96GB 512GBSSD Rtx RTX4050/6GB 15.6"" (1920 x 1080) FDOS WBX9U9EAF32+ZETTAÇANTA",ryzen 7 7445hs
"15.6"" VOSTO 3530 N3409PVNB3530U CORE i5 1334U-32GB RAM-512GB NVME-FDOS",core i5 1334u
"Crosshair 17 HX AI Ultra 9 275HX 48GB 4TB SSD RTX5070/8GB 115W 17"" 2K QHD+ 240Hz W11H Gaming",ultra 9 275hx
"ThinkBook 16 G6 i5 13420H 40GB 1TB SSD 16"" WUXGA FDOS Dizüstü Bilgisayar & PER4 ÇANTA",i5 13420h
"Thinkbook 16 G7 Iml Ultra 7 155H 80GB 2tb SSD 16"" Wuxga 300NITS IPS WIN11PRO 21MS008RTRP34",ultra 7 155h
"Katana 15 Hx İ7-14650HX 48GB 256GB SSD 8GB/RTX5060 115W 15.6"" Qhd 165Hz IPS WIN11HOME W449XTRH11",i7 14650hx
"Cyborg 15 5 210H 24GB Ddr5 4tb SSD RTX5060 8gb W11Home 15.6"" 144HZ B2RWFKG207XTRH10 + Zetta Çanta",r5
"Vector 16 HX AI Ultra 9 275HX 48GB 4TB SSD RTX5070/8GB 115W 16"" QHD+ 240Hz FDOS Gaming",ultra 9 275hx
"Ideapad Slim 3 82XM00U4TX002 Ryzen7 5825U 16GB 512SSD 15.6"" FHD W11P Dizüstü Bilgisayar-CNT00",ryzen7 5825u
"Nitro 5 I7-12650H 48GB 2tb SSD 8GB/RTX4060 140W IPS 17.3"" 144Hz Full Hd WIN11PRO NHQLFEY004P19",i7 12650h
"TUF Gaming F16 Core5 210H 20GB 1TB SSD RTX3050/6GB 16"" WUXGA 144Hz W11P Laptop FX607VJ",core5 210h
"KATANA 17 i9-14900HX 40GB 4 TBSSD RTX5070 (8GB) 17.3"" 2K QHD 240Hz Win11 Home B14WGK-048XTRHMF54",i9 14900hx
"Omen16 Ryzen AI 9-365 40GB 2TB SSD RTX5070/8GB 115W 16"" QHD+ 240Hz W11P Gaming Laptop &Çanta",ryzen ai 9 365
Pro 16 Plus PB16250 Ultra 5 238V 32GB 2TB SSD Intel Arc 16 FHD+ FreeDOS,ultra 5 238v
"Nirvana S200 300NIT i5-13420H 24GB DDR5 2TB SSD 16"" Freedos Laptop S200.1342-CX00X-G-F",i5 13420h
"Rog Strix G18 i9 14900HX 16GB 1TB SSD RTX5060/8GB 240Hz 16"" QHD+ W11H Gaming Laptop G815JMR",i9 14900hx
"TufF15 I7-13620H 32GB DDR5 512GB SSD Freedos 15.6"" Fhd 144Hz 8GB/RTX4060 FX507VV-LP24205+ZETTAÇNT",i7 13620h
Pro 16 Ultra 5 235U 32GB Ddr5 1tb SSD W11HOME 16 Inç IPS Fullhd+ PC16250BTO105H13 + Zetta Çanta,ultra 5 235u
"Omen 16 Core 7 240H 48GB 4TB+4TB SSD RTX5060/8GB 16"" FHD+ 165Hz W11H Gaming Laptop & Per4 Çanta",core 7 240h
"Cyborg 15 i7 13620H 96GB 256GB SSD RTX5060/8GB 15.6"" FHD 144Hz W11P Gaming Laptop B13WFKG",i7 13620h
"Expertbook B1 B1503CVA-S75437 I5-13420H 16GB 512GB SSD 15.6""fhd FDOS S75437F02+ZETTAÇANTA",i5 13420h
"Inspiron 3520 Intel Core i5 1235U 16 GB 1 TBSSD Windows 11 Home 15.6"" FHD 120Hz 3520AR20",intel core i5 1235u
Ideapad Slim 5 i5-13420H 24GB DDR5 256GB SSD UHD Graphics 14'' WUXGA OLED W11H Dizüstü Laptop,i5 13420h
NB VECTOR A18 HX A9WHG-094TR R9-9955HX 32GB DDR5 RTX5070TI GDDR7 12GB 1TB SSD 18.0 QHD+ 240Hz W1,r9 9955hx
Inspiron 15 3530 i5 1334U 36GB 512GB SSD 15.6'' FHD 120Hz W11P Dizüstü Laptop & PER4 ÇANTA,i5 1334u
"ExpertBook P3405CVA-I7161TBG1DEP10 i7-13620H 32GB RAM 2TB SSD 14"" WUXGA Win11P + ElektroPasaj Çanta",i7 13620h
"KATANA 15 HX i9-14900HX 64GB 4 TB RTX5060(8GB-115W) 15.6"" 2K QHD Freedos B14WFK-450XTRHMF10",i9 14900hx
"Latitude 5450 Ultra 7-155U 40 GB 512 GBSSD 14"" FHD Freedos + S.Çantası N012L545014UHMF15",ultra 7 155u
"Vostro 3530 i7-1355U 16GB 512GB SSD 15.6"" FHD 120Hz Windows 11 Pro Laptop N1601PVNB3530U 011",i7 1355u
"Omen Slim 16 Ultra 9 285H 96GB 256GB SSD RTX5060/8GB 16"" FHD+ 165Hz W11P Gaming Laptop & Çanta",ultra 9 285h
Pro 16 Ultra 5 235U 40GB Ddr5 256GB SSD W11HOME 16 Inç IPS Fullhd+ PC16250BTO105H16 + Zetta Çanta,ultra 5 235u
"Latitude 3540 I5 1335U 32GB 256GB SSD Ubuntu 15.6"" Fhd N006L354015U09 +ZETTAÇANTA",i5 1335u
"250R G9 9B9X4EA i3-1315U 8GB 512GB SSD 15.6"" FDOS",i3 1315u
"TUF F16 i7-14650HX 40GB 4 TBSSD RTX5060 (8GB) 16"" Win10 Pro + Sırt Çantası FX608JMR-RV024HMF60",i7 14650hx
"Ideapad Slim 3 83K10060TR006 i7-13620H 24GB 1TBSSD 15.3"" WUXGA FreeDOS Dizüstü Bilgisayar",i7 13620h
"Omen 16 R9-8940HX 24GB 1TB SSD RTX5070/8GB 16"" QHD+ 240Hz W11H Gaming Laptop & Per4 Çanta",r9 8940hx
"Cyborg 15 I5 13420H 24GB 256GB SSD RTX5060 8gb W11PRO 15.6"" 144HZ IPS B13WFKG491XTRP06+Zetta Çanta",i5 13420h
"Precision 3591 Ultra 7 155H 32GB 256GB SSD RTX A500/4GB 15.6"" FHD W11H Workstation & Per4 Çanta",ultra 7 155h
"Alienware 16X U7-255HX 32GB 512GB SSD 8GB/RTX5060 115W 16"" 240Hz 500 Nits WIN11PRO ZAC16251P09",u7 255hx
"Victus 16 i5 14450HX 64GB 4TB SSD RTX3050/6GB 16.1"" FHD 144Hz W11H Gaming Laptop & PER4 Çanta",i5 14450hx
"Cyborg 17 i7 13620H 8GB 4TB SSD RTX5060/8GB 17.3"" FHD 144Hz FDOS Gaming Laptop B13WFKG",i7 13620h
"Predator Helios Neo18 Ultra9 275HX 64GB 4TB SSD RTX5070Ti/12GB 18"" QHD+ FDOS Gaming Laptop",ultra9 275hx
"Cyborg 17 i7 13620H 64GB 2TB SSD RTX5060/8GB 17.3"" FHD 144Hz W11H Gaming Laptop B13WFKG",i7 13620h
"Aspire Lite i7 12650H 24GB DDR5 2TB SSD 15.6"" FHD W11P Dizüstü Bilgisayar & PER4 Çanta",i7 12650h
Nitro V16 i5-14450HX 32GB 4TB SSD RTX4050/6GB 85W 16'' WUXGA 165Hz W11H Gaming Laptop & ÇANTA,i5 14450hx
Thinkbook 16 G8 Ial Ultra 5 225U 48GB Ddr5 1tb SSD FDOS 16 Inç Wuxga IPS 21SK007VTXF31 + Zetta Çanta,ultra 5 225u
"Aspire Go 15 Ryzen 7 5825U 32GB Ddr4 512GBSSD 15.6"" LCD Mat 60Hz FDOS NXJ7XEY002F09+Zettaçanta",ryzen 7 5825u
"Ideapad 5 2-In-1 14IAL10 Ultra 5 225U Aı 16GB 1tbSSD 14"" WIN11HOME Touch+ 83KR000FTRH03+ZETTAÇANTA",ultra 5 225u
"Excalibur G870 i7-13620H 16GB 480GB RTX5060 8GB 165Hz 15.6"" W11H Gaming Laptop G870.1362-BV60A-C",i7 13620h
"Thinkpad E14 G7 Ultra 7 255H Aı 48GB 4tb SSD 14"" FDOS Taşınabilir BILG.T21SX007CTXF15+ZETTAÇANTA",ultra 7 255h
Vostro 3530 Intel Core i5-1334U 16GB RAM 512GB SSD 15.6'' FHD Laptop ( ÇANTA + MOUSE HEDİYELİ),intel core i5 1334u
"TUF Gaming F16 Core5 210H 64GB 2TB SSD RTX3050/6GB 16"" WUXGA 144Hz W11P Laptop FX607VJ",core5 210h
"Precision 3591 Ultra 7 155H 48GB 256GB SSD RTX A500/4GB 15.6"" FHD W11H Workstation & Per4 Çanta",ultra 7 155h
"Pro 15 Essential I7 1355U 5 Ghz 8gb 256GB SSD W11HOME 15.6"" FHD Wva IPS PV152501355UH01+Zetta Çanta",i7 1355u
"Probook 4 G1I Ultra 7 255U 64GB 256GBSSD 14"" (1920 x 1200), 300 Nits FDOS C9FH1ETF16+ZETTAÇANTA",ultra 7 255u
"Omen 17-DB0021NT R7-8845HS 24GB 2 TBSSD RTX4070 (8 GB) 17.3"" FHD Windows 10 Pro A44QSEAHMFY69",r7 8845hs
Victus 15 R5 8645HS 24GB RAM 2TB SSD RTX3050/6GB 144Hz 15.6'' FHD W11H Gaming Laptop & ÇANTA,r5 8645hs
Thinkpad E16 Gen3 Ultra 7 255H 48GB Ddr5 1tb SSD W11PRO 16 Inç Wuxga IPS 21SR006RTXP23 + Zetta Çanta,ultra 7 255h
"Cyborg 15 Intel Core 5 210H 48GB 512GB SSD RTX5060/8GB 15.6"" FHD W11H Gaming Laptop B2RWFKG",intel core 5 210h
"Victus 15 15-FA2704NT B7TG9EA FR63 i5-13420H 24 GB 1 TB SSD RTX3050 15.6"" W11H + Çanta",i5 13420h
Nitro V15 R5 7535HS 16GB 2TB SSD RTX2050/4GB 15.6'' 144Hz FHD W11P Gaming Laptop & PER4 ÇANTA,r5 7535hs
Inspiron 3520 i7 1255U 40GB RAM 512GB SSD 15.6'' FHD FDOS I35201013U & PER4 ÇANTA,i7 1255u
"Victus 15 15-FA2704NT B7TG9EA FR106 i5-13420H 16 GB 512 GB SSD RTX3050 15.6"" W11H + Çanta",i5 13420h
"Tuf F16 FX608JH İ5-13450HX 80GB 1tb SSD 8GB/RTX5050 115W 165Hz 16"" Fhd+ IPS W11HOME WRV082H23",i5 13450hx
"Katana 15 Hx I9 14900HX 16GB 256GB W11Home RTX5060 8gb 115W 15.6"" 2k QHD B14WFK450XTRH01+ZETTAÇNT",i9 14900hx
ZBook 8 G1i 16 Ultra 9 285H 32GB 1TB SSD 4GB RTX 500 Ada 16 WUXGA Windows 11 Pro B30HJES,ultra 9 285h
"Aspire Go 15 I7-13620H 48GB 1tb SSD W11HOME 15,6"" Fhd NXJ6SEY001H23+Zetta Çanta",i7 13620h
Latitude 3540 Intel Core I5 1235U 64GB 2tb SSD 15.6 IPS Fhd Ubuntu DN049L354015U14 + Zetta Çanta,intel core i5 1235u
"Ideapad Slim 3 15IRH10 Core I7 13620H 16GB 512GB SSD Freedos 15.3"" Wuxga IPS 300NITS 83K10060TRF01",core i7 13620h
"Lenovoo IdeaPad Slim 3 83K1004ETR i5 13420H 8GB 512GB SSD 15.3"" WUXGA (1920x1200) FreeDOS Notebook",i5 13420h
"CYBORG 15 i7-13620H 64GB 4 TBSSD RTX4060 15.6"" 144Hz FHD Win11 Pro + Sırt Ç. A13VF-893XTRHMF23",i7 13620h
"Predator Helios Neo16 Ultra9 275HX 48GB 4TB+4TB SSD RTX5060/8GB 16"" QHD+ FDOS Gaming Laptop",ultra9 275hx
Victus 15 R5 8645HS 64GB RAM 1TB SSD RTX3050/6GB 144Hz 15.6'' FHD FDOS Gaming Laptop & ÇANTA,r5 8645hs
"Elitebook 660 G11 Ultra 7 155U 24GB Ddr5 2tb SSD 16"" Wuxga IPS W11HOME 9C004EAH07 + Zetta Çanta",ultra 7 155u
"Vivobook WS3407VA S14 I5 13420H-32GB Ddr5-2tb Ssd-14"" Wuxga IPS 300NITS WIN11PRO ZLY045H19+ZettaÇNT",i5 13420h
"Vostro 3530 Intel Core i5 1334U 16GB 2TB SSD 15.6"" FHD W11P & PER4 Çanta",intel core i5 1334u
Omen 16-AM0033NT I9 14900HX 40GB 8tb SSD RTX5060 8gb FDOS 16Inç 144Hz IPS WC39J7EAF24+Zetta Çanta,i9 14900hx
"Crosshaır A17 Hx Ryzen9 8940HX 80GB 512GB SSD 8GB/RTX5070 115W 17""2.5k 240Hz WIN11PRO Z012XTRP33",ryzen9 8940hx
"Cyborg 15 Intel Core 5 210H 128GB 4TB+4TB SSD RTX5060/8GB 15.6"" FHD W11H Gaming Laptop B2RWFKG",intel core 5 210h
"Latitude 3550 Intel Core I5 1335U 48GB Ddr5 2tb SSD 15.6"" Fhd IPS Freedos WN012L54501414+ZETTAÇANTA",intel core i5 1335u
"Vector 18 HX AI Ultra 9 275HX 8GB 512GB SSD RTX5070Ti/12GB 140W 18"" QHD+ 240Hz W11H Gaming",ultra 9 275hx
"Latitude 3550 Intel Core I5 1335U 48GB Ddr5 4tb SSD 15.6"" Fhd IPS Freedos WN012L54501415",intel core i5 1335u
"Tuf F16 FX607VU Ultra 5 210H 24GB 2tb SSD 6GB/RTX4050W11HOME 16"" Fhd+ 144Hz IPS FXRL141H07+ZettaCNT",ultra 5 210h
"CYBORG 17 i7-13620H 40GB 4 TBSSD RTX5070 17.3"" Win 10 Home + S. Çantası B13WGKG-251XTRHMF75",i7 13620h
"Cyborg 15 A13UC-2087XTR004 i5-13420H 32GB 1TBSSD RTX3050 15.6"" FHD FreeDOS Dizüstü Bilgisayar",i5 13420h
"IdeaPad Slim 3 16IAH8 i5-12450H 16-GBDDR5 1 TBSSD 16"" WUXGA IPS Win 10 Pro 83ES002HTRAR7",i5 12450h
"Victus 15 15-FA2704NT B7TG9EA FR27 i5-13420H 32 GB 2 TB SSD RTX3050 15.6"" DOS",i5 13420h
"Expertbook İ5-1334U 64 GB 2 TBSSD Intel Xe Graphics 14"" Win 11 Pro + S.Çantası B1403CVAHMF33",i5 1334u
D14 13th Gen Intel® Core i5-13420h 16gb 512gb Intel Uhd Graphics 14 Uzay Grısı Notebook Freedos,core i5 13420h
"KATANA 17 HX i7-14650HX 48GB 1 TBSSD RTX5060 17.3"" Win11Home + S.Çantası B14WFK-257XTRHMF34",i7 14650hx
"Victus 16-R0071NT i7-13700H 32 GB 2 TBSSD RTX4070 16.1"" FHD Win 10 Pro + S. Çanta 8V898EAHMF52",i7 13700h
"Vivobook S16 i7 13620H 16GB DDR5 2TB SSD 16"" 144Hz WUXGA FDOS S3607VA Dizüstü Bilgisayar",i7 13620h
"Crosshair A17 HX R7 8840HX 64GB 1TB SSD RTX5070/8GB 115W 17"" QHD+ 240Hz W11H Gaming D8WGKG",r7 8840hx
"Rog Strix G18 i9 14900HX 64GB 256GB SSD RTX5060/8GB 240Hz 16"" QHD+ FDOS Gaming Laptop G815JMR",i9 14900hx
"Victus 16 i5 14450HX 48GB 4TB SSD RTX3050/6GB 16.1"" FHD 144Hz FDOS Gaming Laptop & PER4 Çanta",i5 14450hx
"Vivobook WS3607VA S16 I7 13620H-20GB Ddr5-2tb Ssd-16"" Wuxga IPS 300NITS 144Hz WIN11PRO ZRP077H09",i7 13620h
"V16 Core 7 240H 16GB 2TB SSD RTX5070/8GB 16"" FHD+ 144Hz W11H Gaming Laptop V3607VP & ÇANTA",core 7 240h
"Nitro 5 ANV15-41-R7CH006 Ryzen7 7735HS 32GB 1TBSSD RTX4060 15.6"" FHD FreeDOS Dizüstü Bilgisayar",ryzen7 7735hs
"Nitro V15 ANV15-52-91EQ I9 13900H 40GB 4tbSSD RTX5060 8gb W11PRO 15,6"" NHQZAEYP25+Zetta Çanta",i9 13900h
"CYBORG 17 i7-13620H 32GB 2 TBSSD RTX5070 17.3"" Win 11 Home + S. Çantası B13WGKG-251XTRHMF37",i7 13620h
Vivobook 15 X1504VA-BQ5456 P2 İntel Core 7 150U 16gb Ram 512gb Ssd 15.6'' Win11,intel core 7 150u
"ROG Strix G16 i9-14900HX 16GB 2TB SSD RTX4060/8GB 165HZ 16"" WUXGA FDOS N3095 & PER4 ÇANTA",i9 14900hx
"Aspire Lite AL16-71P Ultra 5 125H 96GB 4tb SSD FDOS 16"" IPS Fullhd+NXDCLEY001F40+Zetta Çanta",ultra 5 125h
"Victus 15 15-FA2704NT B7TG9EA FR6 i5-13420H 16 GB 1 TB SSD RTX3050 15.6"" W11P",i5 13420h
"Cyborg 15 i5-13420H 64GB 1 TBSSD RTX4050 (6GB-45W) 15.6"" FHD Win11 Pro A13VE-1478XTRHMF28",i5 13420h
"Loq 15ARP9 Ryzen 7 7435HS 16GB 1tb SSD W11PRO 4070 8gb 115W 15.6"" Fhd IPS 144Hz 83JC00FGTRP03",ryzen 7 7435hs
"Nitro 18 Ryzen 9 365 48GB 512GB+512GBSSD 12GB/RTX5070TI 18"" Qhd W11PRO NHQYFEY001P37+ZettaÇNT",ryzen 9
"Excalibur G880 Series 2 Core 7-240H 24GB 1TB RTX5060 15.6"" Freedos Gaming Laptop G880.240H-CF60X-C",core 7 240h
"Crosshaır A17 Hx Ryzen9 8940HX 64GB 4tb SSD 8GB/RTX5070 115W 17""2.5k 240Hz Freedos Z012XTRF31",ryzen9 8940hx
"TUF Gaming F16 FX608JH-RV010A007 i5-13450HX 32GB 512SSD+1TBSSD RTX5050 16"" WUXGA DOS Bilgisayar",i5 13450hx
"Crosshair 17 HX AI Ultra 7 255HX 64GB 4TB SSD RTX5070/8GB 115W 17"" 2K QHD+ 240Hz FDOS Gaming",ultra 7 255hx
"V16 Core 7 240H 24GB 2TB SSD RTX5070/8GB 16"" FHD+ 144Hz W11P Gaming Laptop V3607VP & ÇANTA",core 7 240h
Katana 17 HX i7-14650HX 24GB 2TB SSD RTX5060/8GB 17.3'' 2K QHD 240Hz W11P Gaming Laptop B14WFK,i7 14650hx
Nitro V15 R7 7735HS 40GB 4TB SSD RTX4050/6GB 75W 15.6'' FHD 165Hz FDOS Gaming Laptop & ÇANTA,r7 7735hs
"V440VAT-158512W0D i5-13420H 8GB 512SSD 23.8"" Dokunmatik FHD All In One Bilgisayar FreeDOS",i5 13420h
"Tuf F16 FX608JH İ5-13450HX 80GB 1tb SSD 8GB/RTX5050 115W 165Hz 16"" Fhd+ IPS W11HOME WRV082H23",i5 13450hx
"ExpertBook B5 Ultra 7 255H 24GB 512GB SSD 14"" FHD+ W11H Dizüstü Bilgisayar & PER4 Çanta",ultra 7 255h
"Omen 16 R9-8940HX 64GB 2TB SSD RTX5070/8GB 16"" QHD+ 240Hz W11P Gaming Laptop & Per4 Çanta",r9 8940hx
"Loq 15IRX10 Intel® Core I7-13650HX 64GB 4tbSSD 15.6"" 8GB/RTX5060 144Hz FDOS 83JE00ETTRF20+ZETTAÇANTA",core i7 13650hx
"Omen 16 R9-8940HX 48GB 2TB SSD RTX5070/8GB 16"" FHD+ 144Hz W11P Gaming Laptop & Per4 Çanta",r9 8940hx
"Predator Helios Neo16 Ultra9 275HX 80GB 4TB SSD RTX5060/8GB 16"" QHD+ W11H Gaming Laptop",ultra9 275hx
"Victus 15-FA2012NT C21SFEA016 i7-13620H 64GB 1TBSSD RTX5060 15.6"" FullHD FreeDOS Dizüstü Bilgisay",i7 13620h
"Omen 16 Ultra 7 255H 24GB 2TB SSD RTX5060/8GB 115W 16"" FHD+ 165Hz FDOS Gaming Laptop & Çanta",ultra 7 255h
"Cyborg 15 I7 13620H 32GB 512GB SSD RTX5050 8gb FDOS 15.6"" 144HZ IPS B13WEKG613XTRF12+Zetta Çanta",i7 13620h
Extensa 15 EX215-55 i7-1255U 40GB RAM 2TB SSD 15.6'' FHD W11H Dizüstü Bilgisayar & PER4 ÇANTA,i7 1255u
"Omen 16 R9-8940HX 32GB 4TB+4TB SSD RTX5070/8GB 16"" FHD+ 144Hz FDOS Gaming Laptop & Per4 Çanta",r9 8940hx
"Omen 17 Ryzen AI 7 350 48GB 512GB SSD RTX5060/8GB 17.3"" FHD 144Hz FDOS Gaming Laptop & Çanta",ryzen ai 7 350
"Probook 460 G11 Ultra 7 155H Ddr5 48GB 256GB SSD FDOS RTX2050 4gb 16"" IPS A23BYEAF21 + Zetta Çanta",ultra 7 155h
"Victus 16-R1061NTT 9J263EA02 i5-14500HX 16GB 512SSD+1TBSSD RTX4060 16.1"" FHD FreeDOS Dizüstü Bilg",i5 14500hx
Inspiron 15 3530 i5 1334U 40GB 1TB SSD 15.6'' FHD 120Hz FDOS Dizüstü Laptop & PER4 ÇANTA,i5 1334u
"Crosshair A17 HX R7 8840HX 16GB 4TB SSD RTX5070/8GB 115W 17"" QHD+ 240Hz W11P Gaming D8WGKG",r7 8840hx
"Cyborg 17 i7 13620H 80GB 2TB SSD RTX5060/8GB 17.3"" FHD 144Hz W11H Gaming Laptop B13WFKG",i7 13620h
"Cyborg 15 A13VF3 i7-13620H 16GB 2TB SSD RTX4060/8GB 15.6"" FHD 144HZ W11P & PER4 ÇANTA",i7 13620h
"ThinkBook 14 2in1 G4 IML Ultra 7-155U 64GB 4 TBSSD 14"" Win10Home + S.Çantası 21MX002VTRHMF93",ultra 7 155u
"Pro 15 Essential I5 1334U 24GB Ddr5 4tb SSD FDOS 15.6"" FHD 120HZ Wva IPS PV152501334UF10+Zetta Çanta",i5 1334u
"Crosshair 17 HX AI Ultra 9 275HX 64GB 512GB SSD RTX5070/8GB 115W 17"" 2K QHD+ 240Hz FDOS Gaming",ultra 9 275hx
"Pro 14 5 120U 64GB Ddr5 2tb SSD Graphics 14"" Fhd+ IPS W11PRO PC14250C516520H23 + Zettaçanta",r5
"Cyborg 15 I7 13620H 32GB 4tb SSD RTX5050 8gb W11PRO 15.6"" 144HZ IPS B13WEKG613XTRP15+Zetta Çanta",i7 13620h
Pro 14 PC14250 Ultra 5 235U 64GB 2TB SSD 14 FHD+ Windows 11 Pro,ultra 5 235u
"Vostro 3530 i7-1355U 40GB 1TB SSD 15.6"" 120 Hz FHD Win11P N1601PVNB3530U ATL97 Notebook +Çanta",i7 1355u
Predator PH18-73 Ultra 9 275HX 96GB 8tb FDOS 16GB RTX5080 18'' WQXGA NHQVZEY001F30 + Zetta Çanta,ultra 9 275hx
"ThinkPad E16 G2 Ultra 5-125U 48GB 2 TBSSD Intel Graphics 16"" WUXGA Win11 Pro 21MA003MTXFR35",ultra 5 125u
"Expertbook B3 Flip B3402FVA I5-1335U 40GB 256GB SSD 14"" Fhd Dokunmatik Freedos B3402I58512S0D11",i5 1335u
Nitro V15 ANV15 13.nesil Core I7 13620H 48GB 512GBSSD 8GB/RTX5060 FDOS NHQZAEY001F17+ZETTAÇANTA,core i7 13620h
"E16 GEN 3 U5 225U 64 GB RAM 2 TB SSD 16"" DOS 21SSS29ATX Zİ715",u5 225u
Latitude 3540 i5-1235U 12GB RAM 4TB SSD 15.6'' FHD W11HOME Dizüstü Bilgisayar & PER4 ÇANTA,i5 1235u
Nitro V15 i9 13900H 40GB 512GB SSD RTX4060/8GB 15.6'' 165Hz FHD W11H Gaming Laptop & PER4 ÇANTA,i9 13900h
Katna17 Hx I7 14650HX 48GB 2tb SSD W11HOME RTX5060 8gb 17 Inç 2k QHD B14WFK216XTRH24+Zetta Çanta,i7 14650hx
Katana 17 HX i9-14900HX 48GB 512GB SSD RTX5070/8GB 17.3'' 2K QHD 240Hz W11H Gaming Laptop B14WGK,i9 14900hx
Victus 15 Intel Core 7 240H 32GB 4TB SSD RTX5060/8GB 15.6'' 144Hz FHD W11P Gaming Laptop,intel core 7 240h
"Cyborg 15 Intel Core 5 210H 64GB 256GB SSD RTX5060/8GB 15.6"" FHD W11H Gaming Laptop B2RWFKG",intel core 5 210h
"CROSSHAIR 16HX AI Ultra 9-275HX 64GB 1 TBSSD RTX5070 16"" Win10 Pro + Çanta D2XWGKG-047XTRHMF38",ultra 9 275hx
"Alienware 16X U7-255HX 64GB 2tb SSD 8GB/RTX5060 115W 16"" Wqxga 240Hz 500 Nits WIN11PRO ZAC16251P29",u7 255hx
"Nitro I9-13900H 32GB 4 TBSSD RTX 4060 15.6"" FHD Freedos + Sırt Ç. NH.QQEEY.007HMF12",i9 13900h
"Omen 16 Ryzen AI 7 350 16GB 256GB SSD RTX5070/8GB 16"" FHD+ 144Hz W11H Gaming Laptop & Çanta",ryzen ai 7 350
"Nitro V 15 ANV15-52 I7 13620H 48GB 4tbSSD RTX5060 8gb 75W W11PRO 15.6"" NHQZ8EY002P30+ZettaÇNT",i7 13620h
"Latitude 3540 Intel Core i5 1235U 12GB 4TB SSD 15.6"" FHD W11P & PER4 Çanta",intel core i5 1235u
"Nitro 16 AN16-42 R7 8845HS 80GB 4tb SSD 8GB/RTX4060 140W 16"" 180Hz IPS WIN11HOME NHQSKEY004H25",r7 8845hs
"Victus 16-S1010NT 9Z790EA FR7 8GB RTX4060 Ryzen 7 8845HS 16 GB 1 TB 16,1"" FHD 144Hz W11P",ryzen 7 8845hs
Latitude 3540 i5-1235U 12GB RAM 4TB SSD 15.6'' FHD FDOS Dizüstü Bilgisayar & PER4 ÇANTA,i5 1235u
Tuf Gaming A15 FA507NUR-LP036 Ryzen 7 7435HS 16GB Ram 512GB SSD Rtx 4050 140W 144Hz WIN11 Pro 1,ryzen 7 7435hs
"Excalibur G920 i9-14900HX 64GB 2TB+2TB RTX5080 16GB 300Hz 16"" Dos Gaming Laptop G920.1490-EN80X-E",i9 14900hx
"Ideapad Slim 3 Intel Core I7-13620H 16GB 512GB SSD W11P 16"" Bilgisayar CsrTech Çantalı",intel core i7 13620h
"Omen 16-AP0014NT R9 8940HX 16GB 512GB RTX5070 8gb 16"" 240Hz 500NITS W11Home C12CJEAH01 + Zetta Çanta",r9 8940hx
Vector 16 HX AI Ultra 7 255HX 40GB 4TB SSD RTX5070TI/12GB 140W 16'' WUXGA FDOS Gaming Laptop,ultra 7 255hx
"Loq 15AHP10 Ryzen 7 250 64GB Ddr5 512GB SSD W11HOME RTX5050 8gb 15.6"" IPS 83JG006ATRH37+Zetta Çanta",ryzen 7
Nitro V15 R5 7535HS 24GB 512GB SSD RTX3050/6GB 15.6'' 144Hz FHD W11P Gaming Laptop & PER4 ÇANTA,r5 7535hs
"Loq 15AHP10 Ryzen 7 250 16GB Ddr5 8tb SSD W11PRO RTX5050 8gb 15.6"" IPS 83JG006ATRP07 + Zetta Çanta",ryzen 7
"Vostro 3530 Intel Core i5 1334U 12GB 2TB SSD 15.6"" FHD W11H & PER4 Çanta",intel core i5 1334u
